address,subdistrict_code,BEDROOMS,BATHROOMS,SIZE,PROPERTY TYPE,avg_distance_to_nearest_station,nearest_station_count,rent
1113,-1,3.0,,,9,0.2,3,3900
1114,-1,3.0,,,9,0.8,3,3770
2506,59,4.0,2.0,,5,1.1,3,2800
2312,-1,2.0,2.0,,9,0.7,3,2200
1649,148,1.0,1.0,,9,0.4,3,1668
969,-1,1.0,1.0,464.0,0,0.4,3,2100
1487,-1,4.0,2.0,,9,0.8,3,2800
1190,81,1.0,1.0,,0,0.4,3,2250
1100,-1,1.0,1.0,,0,0.3,3,2500
2004,-1,1.0,1.0,,9,0.5,3,1798
247,89,3.0,2.0,,23,1.2,3,2800
472,94,2.0,2.0,,0,0.2,3,4500
576,-1,6.0,3.0,,23,0.5,3,3500
434,0,1.0,,,16,1.3,3,950
1452,179,,1.0,,24,0.3,3,1200
2264,66,2.0,2.0,,0,0.7,3,3800
612,91,1.0,1.0,532.0,9,0.7,3,1850
1865,-1,,1.0,,9,0.4,3,950
1953,180,2.0,1.0,728.0,9,0.5,3,3500
496,81,2.0,1.0,,9,0.4,3,3250
416,-1,1.0,,,0,0.1,3,1820
1796,91,2.0,2.0,742.0,9,0.7,3,2500
612,91,1.0,,618.0,9,0.8,3,1900
1793,-1,3.0,2.0,1010.0,0,0.5,3,5300
948,151,3.0,2.0,936.0,9,0.4,3,4009
581,141,2.0,2.0,,0,0.4,3,3250
2779,53,2.0,2.0,714.0,9,0.5,3,2600
204,182,1.0,1.0,,9,0.3,3,2340
1820,72,2.0,2.0,,0,0.5,3,2600
2319,180,,1.0,198.0,24,0.2,3,1350
1173,-1,2.0,1.0,500.0,9,0.4,3,2300
994,-1,,1.0,,9,0.4,3,1677
2480,52,1.0,1.0,,0,0.6,3,1600
2571,40,2.0,2.0,,9,0.6,3,1650
240,-1,3.0,2.0,1410.0,25,0.8,3,2800
713,-1,4.0,2.0,1342.0,14,0.3,3,6067
334,187,3.0,2.0,1375.0,0,0.4,3,16683
1468,-1,1.0,1.0,,9,0.3,3,1595
1459,182,2.0,2.0,764.0,9,0.3,3,3095
1596,-1,1.0,1.0,,15,0.5,3,900
2613,-1,,1.0,,24,1.4,3,995
105,-1,4.0,2.0,,25,0.8,3,4000
1674,166,2.0,1.0,750.0,9,0.5,3,1647
1230,74,3.0,1.0,,9,0.6,3,2100
1200,185,1.0,1.0,,0,0.2,3,2210
1882,189,5.0,3.0,1537.0,9,0.3,3,13000
2219,-1,1.0,1.0,,9,0.8,3,1450
2647,152,,1.0,232.0,24,0.4,3,1500
2792,-1,1.0,1.0,465.0,9,0.3,3,2579
120,94,2.0,2.0,,0,1.8,3,4333
2024,150,3.0,1.0,,0,0.4,3,2700
1629,-1,2.0,2.0,,0,0.5,3,6500
82,90,2.0,2.0,,9,0.4,3,6500
1988,-1,2.0,2.0,,9,0.6,3,2000
181,206,1.0,1.0,,0,0.7,3,1495
343,142,1.0,1.0,,9,0.6,3,2665
125,-1,2.0,2.0,,0,2.0,3,1600
2102,171,1.0,1.0,,0,1.4,3,1740
2647,152,,1.0,,24,0.4,3,1400
365,-1,2.0,2.0,798.0,0,0.5,3,4380
582,91,3.0,,772.0,8,0.6,3,1733
1047,150,1.0,1.0,248.0,9,0.4,3,1500
1774,150,1.0,1.0,404.0,9,0.4,3,2449
288,-1,2.0,2.0,1364.0,0,0.3,3,7421
1373,-1,5.0,6.0,4441.0,14,0.6,3,12000
236,-1,5.0,2.0,,14,2.1,3,2400
1511,191,5.0,3.0,,0,0.3,3,12783
2647,152,,1.0,239.0,24,0.4,3,1290
322,-1,2.0,2.0,,0,0.5,3,4000
1001,128,1.0,1.0,577.0,0,0.3,3,2492
2547,-1,2.0,1.0,1222.0,23,0.6,3,3250
2097,-1,1.0,1.0,,0,0.5,3,2000
512,-1,2.0,2.0,,9,0.6,3,2450
2135,151,1.0,1.0,,9,0.4,3,2150
1336,-1,,1.0,,24,0.4,3,1100
99,-1,2.0,1.0,,18,0.3,3,2747
364,-1,3.0,3.0,,0,0.3,3,10833
109,88,2.0,1.0,640.0,9,0.5,3,2275
1473,206,,1.0,,24,0.9,3,1060
883,-1,2.0,2.0,,9,0.6,3,2500
698,-1,2.0,1.0,,9,0.6,3,2350
1275,74,,1.0,,24,0.3,3,1600
2810,190,3.0,2.0,,0,0.2,3,10400
1019,86,1.0,1.0,,9,0.8,3,1350
311,86,2.0,2.0,,9,0.9,3,1995
2450,180,2.0,1.0,,9,0.2,3,1850
2840,181,3.0,2.0,,18,0.5,3,2550
759,-1,3.0,2.0,,9,0.2,3,3350
1101,-1,1.0,1.0,,0,0.4,3,2492
668,151,3.0,2.0,,0,0.4,3,5499
2540,94,2.0,2.0,1387.0,0,0.5,3,5200
2389,94,1.0,1.0,624.0,0,0.2,3,3485
2582,-1,1.0,1.0,,9,0.5,3,1800
2122,88,2.0,1.0,538.0,9,0.4,3,2000
